_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Year,month,Active Status,Duration
651,Gibson Long-Term Care Residence - 2nd & 4th Fl,1925 Steeles Ave,Ltch,Respiratory,Parainfluenza,Coronavirus*,2024-05-09,2024-06-03,2024,2024-05,Resolved,25.0
652,Trillium Health Partners - Queensway - Orthopedic Unit,150 Sherway Drive,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2024-05-09,2024-05-13,2024,2024-05,Resolved,4.0
653,Fairview Nursing Home - 2nd & 3rd Fl,14 Cross St,Ltch,Respiratory,Metapneumovirus,Rhinovirus,2024-05-08,2024-05-16,2024,2024-05,Resolved,8.0
654,University Health Network - Toronto General - 7MA,200 Elizabeth St,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2024-05-08,2024-05-14,2024,2024-05,Resolved,6.0
655,Wesburn Manor - 4 North,400 The West Mall,Ltch,Respiratory,Unable to identify,Unknown,2024-05-08,2024-05-19,2024,2024-05,Resolved,11.0
656,Cedarbrook Lodge - Transitional Care Unit - 5th Fl Bayshore,520 Markham Rd,Transitional Care,Respiratory,COVID-19,Unknown,2024-05-07,2024-05-21,2024,2024-05,Resolved,14.0
657,Cedarbrook Lodge Retirement Residence - 4th Fl,520 Markham Rd,Retirement Home,Respiratory,COVID-19,Unknown,2024-05-07,2024-05-22,2024,2024-05,Resolved,15.0
658,Kipling Acres - 3 North East Smithfield,2233 Kipling Ave,Ltch,Respiratory,COVID-19,Unknown,2024-05-07,2024-05-10,2024,2024-05,Resolved,3.0
659,Bendale Acres - 2 West,2920 Lawrence Ave E,Ltch,Respiratory,COVID-19,Unknown,2024-05-06,2024-05-13,2024,2024-05,Resolved,7.0
660,McNicoll Manor/Moll Berczy Haus,1020 McNicoll Ave,Retirement Home,Respiratory,COVID-19,Unknown,2024-05-06,2024-05-22,2024,2024-05,Resolved,16.0
661,"New Horizons Tower - 6th, 9th, 14th, 15th & 16th Fl",1140 Bloor St W,Retirement Home,Respiratory,COVID-19,Unknown,2024-05-06,2024-05-21,2024,2024-05,Resolved,15.0
662,Sinai Health System - Hennick Bridgepoint - 3N,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2024-05-06,2024-05-13,2024,2024-05,Resolved,7.0
663,The Claremont - 3rd Fl,305 Balliol St,Retirement Home,Respiratory,COVID-19,Unknown,2024-05-06,2024-05-13,2024,2024-05,Resolved,7.0
664,"Copernicus Lodge - 2 North, 2 South & 3 South",66 Roncesvalles Ave,Ltch,Enteric,Norovirus,Unknown,2024-05-05,2024-05-27,2024,2024-05,Resolved,22.0
665,Cummer Lodge - Unit 4S,205 Cummer Ave,Ltch,Respiratory,Influenza A (Not subtyped),"Coronavirus*, Enterovirus/ Rhinovirus",2024-05-03,2024-05-14,2024,2024-05,Resolved,11.0
666,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LGSE,2075 Bayview Ave,Ltch,Respiratory,COVID-19,Unknown,2024-05-03,2024-05-15,2024,2024-05,Resolved,12.0
667,The Village of Humber Heights - 1st Fl (Lambton) & East Wing,2245 Lawrence Ave W,Ltch,Respiratory,COVID-19,Unknown,2024-05-03,2024-06-09,2024,2024-05,Resolved,37.0
668,Hawthorne Place Care Centre - Honeysuckle Unit & 1st Fl Convalescent,2045 Finch Ave W,Ltch,Respiratory,Parainfluenza,Unknown,2024-05-02,2024-05-26,2024,2024-05,Resolved,24.0
669,Ina Grafton Gage Home - Unit 4,40 Bell Estate Rd,Ltch,Respiratory,Parainfluenza,Unknown,2024-05-02,2024-05-17,2024,2024-05,Resolved,15.0
670,Queens Estate Retirement Residence - 3rd & 4th Fl,265 Queens Dr,Retirement Home,Respiratory,Parainfluenza,Unknown,2024-05-02,2024-05-14,2024,2024-05,Resolved,12.0
671,Unity Health Toronto - Providence - A5,3276 St. Clair Ave East,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2024-05-02,2024-05-10,2024,2024-05,Resolved,8.0
672,Hellenic Care for Seniors,215 Tyrrel Ave,Ltch,Respiratory,Rhinovirus,Coronavirus*,2024-05-01,2024-05-14,2024,2024-05,Resolved,13.0
673,Hellenic Home for The Aged - 3B,2411 Lawrence Ave E,Ltch,Enteric,Unable to identify,Unknown,2024-05-01,2024-05-08,2024,2024-05,Resolved,7.0
674,Elm Grove Living Centre - 2nd Fl (East),35 Elm Grove Ave,Ltch,Respiratory,COVID-19,Unknown,2024-04-30,2024-05-17,2024,2024-04,Resolved,17.0
675,Isabel and Arthur Meighen Manor - Fisher Unit,155 Millwood Rd,Ltch,Respiratory,Coronavirus*,Unknown,2024-04-30,2024-05-09,2024,2024-04,Resolved,9.0
676,Trillium Health Partners - McCall Centre for Continuing Care - 4th Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),Unknown,2024-04-30,2024-05-09,2024,2024-04,Resolved,9.0
677,Carefree Lodge - 1st Fl,306 Finch Ave E,Ltch,Respiratory,COVID-19,Unknown,2024-04-29,2024-05-07,2024,2024-04,Resolved,8.0
678,Centre For Addiction And Mental Health - GAU A,1001 Queen St W,Hospital-Psychiatric,Respiratory,Respiratory syncytial virus,Unknown,2024-04-29,2024-05-07,2024,2024-04,Resolved,8.0
679,Kipling Acres - 3 South East & 3 North East,2233 Kipling Ave,Ltch,Respiratory,Coronavirus*,Metapneumovirus,2024-04-29,2024-05-12,2024,2024-04,Resolved,13.0
680,Labdara Lithuanian Nursing Home - 3rd Fl,5 Resurection Rd,Ltch,Respiratory,Coronavirus*,Parainfluenza type 1,2024-04-29,2024-05-21,2024,2024-04,Resolved,22.0
681,Tendercare Living Centre - 2E & 2W,1020 Mcnicoll Ave,Ltch,Respiratory,COVID-19,Unknown,2024-04-29,2024-05-15,2024,2024-04,Resolved,16.0
682,"The Heritage Nursing Home - 1st, 3rd & 4th Fl",1195 Queen St E,Ltch,Respiratory,Coronavirus*,Rhinovirus,2024-04-29,2024-05-23,2024,2024-04,Resolved,24.0
683,Tony Stacey Centre for Veterans Care,59 Lawson Rd,Ltch,Respiratory,Coronavirus*,Parainfluenza,2024-04-29,2024-05-15,2024,2024-04,Resolved,16.0
684,Trillium Health Partners - McCall Continuing Care - 4th Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2024-04-27,2024-05-09,2024,2024-04,Resolved,12.0
685,University Health Network - Princess Margaret - 15A,610 University Ave,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2024-04-27,2024-05-05,2024,2024-04,Resolved,8.0
686,Baycrest Apotex Centre - Jewish Home for the Aged - 7GS,3560 Bathurst St,Ltch,Respiratory,Metapneumovirus,Unknown,2024-04-26,2024-05-05,2024,2024-04,Resolved,9.0
687,St George Care Community - 3rd Fl,225 St. George St,Ltch,Respiratory,Coronavirus*,Unknown,2024-04-26,2024-05-06,2024,2024-04,Resolved,10.0
688,Chester Village LTC - 2E,3555 Danforth Ave,Ltch,Respiratory,COVID-19,Unknown,2024-04-25,2024-05-13,2024,2024-04,Resolved,18.0
689,Runnymede Healthcare Centre - 4E,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,Metapneumovirus,Parainfluenza,2024-04-25,2024-05-16,2024,2024-04,Resolved,21.0
690,Unity Health Toronto - St. Joseph's - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2024-04-25,2024-05-01,2024,2024-04,Resolved,6.0
691,Age Care Trilogy Long Term Care - 6th Fl,340 McCowan Rd,Ltch,Respiratory,COVID-19,Unknown,2024-04-23,2024-04-30,2024,2024-04,Resolved,7.0
692,Norfinch Care Community - 2A,22 Norfinch Dr,Ltch,Respiratory,Metapneumovirus,Unknown,2024-04-23,2024-05-05,2024,2024-04,Resolved,12.0
693,The Kensington Gardens (South Building) - S2E,25 Brunswick Ave,Ltch,Respiratory,Parainfluenza,Metapneumovirus,2024-04-23,2024-05-09,2024,2024-04,Resolved,16.0
694,Extendicare Guildwood,60 Guildwood Pky,Ltch,Respiratory,Metapneumovirus,Parainfluenza,2024-04-22,2024-05-02,2024,2024-04,Resolved,10.0
695,Midland Gardens Care Community - 3rd & 6th Fl,130 Midland Ave,Ltch,Enteric,Norovirus,Unknown,2024-04-22,2024-05-06,2024,2024-04,Resolved,14.0
696,Trillium Health Partners - McCall Centre For Continuing Care - 3rd Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),Unknown,2024-04-22,2024-05-04,2024,2024-04,Resolved,12.0
697,University Health Network - Toronto Western - 8A,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2024-04-22,2024-05-07,2024,2024-04,Resolved,15.0
698,Yee Hong Centre - 2 North & 2 South,60 Scoffield Dr,Ltch,Respiratory,Rhinovirus,Unknown,2024-04-21,2024-05-09,2024,2024-04,Resolved,18.0
699,Centre For Addiction and Mental Health - 3rd Fl (Unit 3-3),1001 Queen St West,Hospital-Psychiatric,Respiratory,COVID-19,Unknown,2024-04-20,2024-05-06,2024,2024-04,Resolved,16.0
700,Meighen Retirement Residence - 3rd Fl,84 Davisville Ave,Retirement Home,Respiratory,Metapneumovirus,Unknown,2024-04-19,2024-04-29,2024,2024-04,Resolved,10.0
701,Nisbet Lodge - Toronto - 4th Fl,740 Pape Ave,Ltch,Respiratory,COVID-19,Unknown,2024-04-19,2024-04-26,2024,2024-04,Resolved,7.0
702,Retirement Suites by the Lake,2121 Kingston Rd,Retirement Home,Respiratory,Coronavirus*,Unknown,2024-04-19,2024-05-06,2024,2024-04,Resolved,17.0
703,Kensington Gardens (North Building) - 2 West,45 Brunswick Ave,Ltch,Respiratory,Parainfluenza,Unknown,2024-04-18,2024-04-23,2024,2024-04,Resolved,5.0
704,Midland Gardens Care Community - 5th Fl,130 Midland Ave,Ltch,Respiratory,Unable to identify,Unknown,2024-04-18,2024-04-27,2024,2024-04,Resolved,9.0
705,"Weston Gardens Retirement Residence - 3rd, 4th & 5th Fl",303 Queens Dr,Retirement Home,Respiratory,COVID-19,Unknown,2024-04-18,2024-04-29,2024,2024-04,Resolved,11.0
706,Chartwell Avondale Retirement Home,1238 Queen St E,Retirement Home,Enteric,Unable to identify,Unknown,2024-04-17,2024-04-27,2024,2024-04,Resolved,10.0
707,Presentation Manor,61 Fairfax Cres,Retirement Home,Enteric,Norovirus,Unknown,2024-04-17,2024-05-09,2024,2024-04,Resolved,22.0
708,True Davidson Acres - 3rd Fl,200 Dawes Rd,Ltch,Respiratory,Metapneumovirus,Unknown,2024-04-17,2024-04-26,2024,2024-04,Resolved,9.0
709,Yee Hong Centre - 2F,2311 McNicoll Ave,Ltch,Enteric,Unable to identify,Unknown,2024-04-17,2024-04-24,2024,2024-04,Resolved,7.0
710,Baycrest Apotex Centre - Jewish Home For The Aged - 6GS,3560 Bathurst St,Ltch,Respiratory,Metapneumovirus,Coronavirus*,2024-04-15,2024-05-02,2024,2024-04,Resolved,17.0
711,Bendale Acres - 1 W,2920 Lawrence Ave E,Ltch,Enteric,Unable to identify,Unknown,2024-04-15,2024-04-22,2024,2024-04,Resolved,7.0
712,Christie Gardens - Cedarvale Neighbourhood,600 Melita Cres,Retirement Home,Respiratory,COVID-19,Unknown,2024-04-15,2024-04-29,2024,2024-04,Resolved,14.0
713,Chartwell Scarlett Heights Retirement Residence,4500 Eglinton Ave W,Retirement Home,Enteric,Norovirus,Unknown,2024-04-13,2024-04-30,2024,2024-04,Resolved,17.0
714,Centre For Addiction and Mental Health - GAU A,1001 Queen St W,Hospital-Psychiatric,Respiratory,Respiratory syncytial virus,Unknown,2024-04-12,2024-04-26,2024,2024-04,Resolved,14.0
715,The Donway Place,8 The Donway   E,Retirement Home,Respiratory,Influenza A (H1N1),Unknown,2024-04-12,2024-04-29,2024,2024-04,Resolved,17.0
716,The Rekai Centres - Sherbourne Place - 4th Fl,345 Sherbourne St,Ltch,Respiratory,Unable to identify,Unknown,2024-04-12,2024-04-28,2024,2024-04,Resolved,16.0
717,The Wexford Residence,1860 Lawrence Ave E,Ltch,Respiratory,Coronavirus*,"Metapneumovirus, Parainfluenza",2024-04-12,2024-05-06,2024,2024-04,Resolved,24.0
718,Baycrest Apotex Centre - Jewish Home For The Aged - 7RF,3560 Bathurst St,Ltch,Respiratory,Influenza B,Unknown,2024-04-11,2024-04-22,2024,2024-04,Resolved,11.0
719,The Village Of Humber Heights Retirement Home,2245 Lawrence Ave W,Retirement Home,Enteric,Unable to identify,Unknown,2024-04-11,2024-04-25,2024,2024-04,Resolved,14.0
720,Trillium Health Partners - McCall Continuing Care - 3rd Fl,140 Sherway Drive,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2024-04-10,2024-05-07,2024,2024-04,Resolved,27.0
721,Castleview Wychwood Towers - 4th Fl,351 Christie St,Ltch,Respiratory,COVID-19,Unknown,2024-04-09,2024-05-01,2024,2024-04,Resolved,22.0
722,Chartwell Scarlett Heights Retirement Residence - 2nd Fl Memory Living Unit,4005 Eglinton Ave W,Retirement Home,Respiratory,Unable to identify,Unknown,2024-04-09,2024-04-17,2024,2024-04,Resolved,8.0
723,Lakeside Long Term Care - 2nd Fl,150 Dunn Ave,Ltch,Respiratory,Rhinovirus,Unknown,2024-04-09,2024-04-17,2024,2024-04,Resolved,8.0
724,McCall Centre for Continuing Care - 2nd Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Parainfluenza,Unknown,2024-04-09,2024-04-24,2024,2024-04,Resolved,15.0
725,Weston Terrace Care Community - 2B,2005 Lawrence Ave W,Ltch,Respiratory,COVID-19,Unknown,2024-04-09,2024-04-19,2024,2024-04,Resolved,10.0
726,Bill McMurray Residence,180 Sheridan Ave,Retirement Home,Respiratory,COVID-19,Unknown,2024-04-08,2024-04-18,2024,2024-04,Resolved,10.0
727,Ehatare Nursing Home - 4th Fl,40 Old Kingston Rd,Ltch,Respiratory,COVID-19,Unknown,2024-04-08,2024-04-22,2024,2024-04,Resolved,14.0
728,Hawthorne Place Care Centre - 2nd Fl,2045 Finch Ave W,Ltch,Respiratory,COVID-19,Unknown,2024-04-08,2024-04-29,2024,2024-04,Resolved,21.0
729,Ukrainian Canadian Care Centre - 2nd & 3rd Fl,60 Richview Rd,Ltch,Respiratory,Parainfluenza,Unknown,2024-04-08,2024-04-25,2024,2024-04,Resolved,17.0
730,West Park Healthcare Centre - 3 West F,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Metapneumovirus,Unknown,2024-04-06,2024-04-15,2024,2024-04,Resolved,9.0
731,Craiglee Nursing Home - 3 West,102 Craiglee Dr,Ltch,Respiratory,COVID-19,Unknown,2024-04-05,2024-04-23,2024,2024-04,Resolved,18.0
732,"Harold And Grace Baker Centre - 3rd, 4th, 5th & 6th Fl",1 Northwestern Ave,Retirement Home,Enteric,Unable to identify,Unknown,2024-04-05,2024-04-19,2024,2024-04,Resolved,14.0
733,UHN - Toronto General Hospital - 7MB,200 Elizabeth St,Hospital-Acute Care,Respiratory,Influenza B,Unknown,2024-04-05,2024-04-11,2024,2024-04,Resolved,6.0
734,Cheltenham Care Community - 3rd Fl North,5935 Bathurst St,Ltch,Respiratory,Metapneumovirus,Unknown,2024-04-04,2024-05-02,2024,2024-04,Resolved,28.0
735,Bendale Acres - 1 West,2920 Lawrence Ave E,Ltch,Respiratory,Influenza A (Not subtyped),Unknown,2024-04-03,2024-04-11,2024,2024-04,Resolved,8.0
736,Bendale Acres - 1W & 4th Fl,2920 Lawrence Ave E,Ltch,Respiratory,Unable to identify,Unknown,2024-04-03,2024-04-22,2024,2024-04,Resolved,19.0
737,Unity Health Toronto - Houses of Providence - 3W (Walnut & Poplar),3276 St. Clair Ave E,Ltch,Respiratory,Parainfluenza,Unknown,2024-04-03,2024-04-21,2024,2024-04,Resolved,18.0
738,Unity Health Toronto - St. Michael's - 8G,30 Bond St,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2024-04-03,2024-04-09,2024,2024-04,Resolved,6.0
739,West Park  Healthcare Centre - 3 East A,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2024-04-03,2024-04-10,2024,2024-04,Resolved,7.0
740,Centre For Addiction and Mental Health - Unit 1-5,1001 Queen St West,Hospital-Psychiatric,Respiratory,COVID-19,Unknown,2024-04-02,2024-04-19,2024,2024-04,Resolved,17.0
741,Mon Sheong Scarborugh LTC Centre - 3 North,2030 McNicoll Ave,Ltch,Respiratory,Coronavirus*,Unknown,2024-04-02,2024-04-18,2024,2024-04,Resolved,16.0
742,The Village Of Humber Heights,2245 Lawrence Ave W,Ltch,Enteric,Unable to identify,Unknown,2024-04-02,2024-04-22,2024,2024-04,Resolved,20.0
743,West Park Healthcare Centre - 3 East A,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Metapneumovirus,Unknown,2024-04-02,2024-04-10,2024,2024-04,Resolved,8.0
744,West Park Long Term Care Centre - Hughes & Prittie,82 Buttonwood Ave,Ltch,Respiratory,COVID-19,Unknown,2024-04-02,2024-04-17,2024,2024-04,Resolved,15.0
745,Weston Terrace Care Community - 2A,2005 Lawrence Ave W,Ltch,Enteric,Norovirus,Unknown,2024-04-02,2024-04-09,2024,2024-04,Resolved,7.0
746,"Belmont House - 3W, 4W & 5W",55 Belmont St,Ltch,Respiratory,Parainfluenza,Unknown,2024-04-01,2024-04-23,2024,2024-04,Resolved,22.0
747,Copernicus Lodge,66 Roncesvalles Ave,Ltch,Respiratory,Metapneumovirus,Unknown,2024-04-01,2024-04-18,2024,2024-04,Resolved,17.0
748,Extendicare Rouge Valley - 1st Fl,551 Collins Rd,Ltch,Enteric,Norovirus,Unknown,2024-04-01,2024-04-12,2024,2024-04,Resolved,11.0
749,"Glen Rouge Community - Wing 1,2 3 & 4",92 Island Rd,Ltch,Respiratory,Influenza A (H1),Coronavirus*,2024-04-01,2024-04-23,2024,2024-04,Resolved,22.0
750,Suomi-Koti Toronto Nursing Home - 7th Fl,795 Eglinton Ave E,Ltch,Respiratory,Metapneumovirus,Unknown,2024-04-01,2024-04-15,2024,2024-04,Resolved,14.0
751,The Kensington Gardens (South Building) - 1E (South) & 3W (South),25 Brunswick,Ltch,Respiratory,Unable to identify,Unknown,2024-04-01,2024-04-18,2024,2024-04,Resolved,17.0
752,The Kensington Gardens (South Building) - 4W (South),25 Brunswick Ave,Ltch,Enteric,Unable to identify,Unknown,2024-04-01,2024-04-15,2024,2024-04,Resolved,14.0
753,Harold and Grace Baker Centre LTCH - Wing A,1 Northwestern Ave,Ltch,Respiratory,COVID-19,Unknown,2024-03-31,2024-04-11,2024,2024-03,Resolved,11.0
754,Extendicare Guildwood,60 Guildwood Pky,Ltch,Respiratory,Parainfluenza,Unknown,2024-03-30,2024-04-15,2024,2024-03,Resolved,16.0
755,Harold And Grace Baker Centre - A Wing & C Wing,1 Northwestern Ave,Ltch,Enteric,Norovirus,Clostridium difficile,2024-03-30,2024-04-16,2024,2024-03,Resolved,17.0
756,Wesburn Manor - 4th Fl,400 The West Mall,Retirement Home,Respiratory,Metapneumovirus,Unknown,2024-03-30,2024-04-10,2024,2024-03,Resolved,11.0
757,Carefree Lodge,306 Finch Ave,Ltch,Respiratory,Coronavirus*,Unknown,2024-03-29,2024-04-13,2024,2024-03,Resolved,15.0
758,Chartwell Guildwood Retirement Residence - 4th Fl,65 Livingston Rd,Retirement Home,Respiratory,Influenza A (Not subtyped),Unknown,2024-03-28,2024-04-03,2024,2024-03,Resolved,6.0
759,Leaside Retirement Residence - 2nd Fl,14 William Morgan Dr,Retirement Home,Respiratory,COVID-19,Unknown,2024-03-28,2024-04-11,2024,2024-03,Resolved,14.0
760,RCC Church Site - St. Joseph's Health Centre - 4B,200 Church St,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,Unknown,2024-03-28,2024-04-23,2024,2024-03,Resolved,26.0
761,"The Kensington Gardens (North Building) - 1E (North), 1E, 2E & 2W",45 Brunswick Ave,Ltch,Enteric,Norovirus,Unknown,2024-03-28,2024-04-16,2024,2024-03,Resolved,19.0
762,The Wexford - 5th Fl,1860 Lawrence Ave E,Ltch,Respiratory,Metapneumovirus,Unknown,2024-03-27,2024-04-02,2024,2024-03,Resolved,6.0
763,Centre For Addiction and Mental Health - Unit 1-3,1001 Queen St W,Hospital-Psychiatric,Respiratory,Influenza A (Not subtyped),Unknown,2024-03-26,2024-04-03,2024,2024-03,Resolved,8.0
764,St. George Care Community - 5th Fl,225 St. George St,Ltch,Respiratory,COVID-19,Unknown,2024-03-26,2024-04-03,2024,2024-03,Resolved,8.0
765,Wellesley Central Place - 4W & 4E,160 Wellesley St E,Ltch,Respiratory,COVID-19,Unknown,2024-03-26,2024-04-07,2024,2024-03,Resolved,12.0
766,Fairview Nursing Home - 2nd Fl,14 Cross St,Ltch,Respiratory,Unable to identify,Unknown,2024-03-25,2024-04-02,2024,2024-03,Resolved,8.0
767,North York General Hospital - Seniors' Health Centre - 4th Fl,2 Buchan Crt,Ltch,Respiratory,Coronavirus*,Unknown,2024-03-25,2024-04-02,2024,2024-03,Resolved,8.0
768,Parkland On Eglinton West - MC4 West,4650 Eglinton Ave W,Retirement Home,Enteric,Unable to identify,Unknown,2024-03-25,2024-05-06,2024,2024-03,Resolved,42.0
769,Centre For Addiction and Mental Health - Queen Street Site - GAU A,1001 Queen St West,Hospital-Psychiatric,Respiratory,COVID-19,Unknown,2024-03-24,2024-04-01,2024,2024-03,Resolved,8.0
770,Cheltenham Care Community - 3rd Fl,5935 Bathurst Street St,Ltch,Respiratory,Influenza B,Unknown,2024-03-24,2024-03-30,2024,2024-03,Resolved,6.0
771,Belmont House - 2WW,55 Belmont St,Ltch,Respiratory,Parainfluenza,Unknown,2024-03-22,2024-04-14,2024,2024-03,Resolved,23.0
772,New Horizons Tower,1140 Bloor St W,Retirement Home,Enteric,Norovirus,Unknown,2024-03-22,2024-04-15,2024,2024-03,Resolved,24.0
773,Unity Health Toronto - Houses Of Providence - 2E (Spruce & Chestnut),3276 St. Clair Ave E,Ltch,Respiratory,Parainfluenza,Unknown,2024-03-22,2024-04-04,2024,2024-03,Resolved,13.0
774,Baycrest Hospital - North York - H7W,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,Unknown,2024-03-21,2024-04-01,2024,2024-03,Resolved,11.0
775,Cedarhurst Dementia Care Home - 1E & 2E,2601 Bayview Ave,Retirement Home,Respiratory,COVID-19,Unknown,2024-03-21,2024-03-28,2024,2024-03,Resolved,7.0
776,Craiglee Nursing Home - 2 East & 3 East,102 Craiglee Dr,Ltch,Respiratory,Metapneumovirus,Unknown,2024-03-21,2024-04-10,2024,2024-03,Resolved,20.0
777,Amica Bayview Gardens,1925 Rean Dr,Retirement Home,Respiratory,Coronavirus*,Enterovirus/ Rhinovirus,2024-03-20,2024-04-03,2024,2024-03,Resolved,14.0
778,Chester Village - 2 West Topaz,3555 Danforth Ave,Ltch,Respiratory,Parainfluenza,Unknown,2024-03-20,2024-03-26,2024,2024-03,Resolved,6.0
779,North York General Hospital - General Site - 7W,4001 Leslie St,Hospital-Acute Care,Respiratory,Influenza A (H1),Unknown,2024-03-20,2024-03-28,2024,2024-03,Resolved,8.0
780,Norwood Nursing Home - 2nd Fl,122 Tyndall Ave,Ltch,Respiratory,Metapneumovirus,Unknown,2024-03-20,2024-04-03,2024,2024-03,Resolved,14.0
781,Labdara Lithuanian Nursing Home - 1st Fl,5 Resurrection Rd,Ltch,Respiratory,COVID-19,Unknown,2024-03-19,2024-04-02,2024,2024-03,Resolved,14.0
782,Labdara Lithuanian Nursing Home - 2nd Fl,5 Resurrection Rd,Ltch,Respiratory,Unable to identify,Unknown,2024-03-19,2024-03-28,2024,2024-03,Resolved,9.0
783,Centre For Addiction and Mental Health - Queen Street Site - PRT5,1001 Queen St West,Hospital-Psychiatric,Respiratory,COVID-19,Unknown,2024-03-18,2024-03-25,2024,2024-03,Resolved,7.0
784,Queens Estate Retirement Residence - 3rd Fl,265 Queens Dr,Retirement Home,Respiratory,Coronavirus*,Unknown,2024-03-18,2024-03-27,2024,2024-03,Resolved,9.0
785,Rockcliffe Care Community - Scarborough - 1st Fl,3015 Lawrence Ave E,Ltch,Respiratory,COVID-19,Unknown,2024-03-18,2024-03-28,2024,2024-03,Resolved,10.0
786,Unity Health Toronto - St. Joseph's Health Centre - 4M,30 The Queensway,Hospital-Acute Care,Enteric,Norovirus,Unknown,2024-03-18,2024-03-26,2024,2024-03,Resolved,8.0
787,Craiglee Nursing Home - Scarborough - 1 East,102 Craiglee Dr,Ltch,Respiratory,COVID-19,Unknown,2024-03-17,2024-04-03,2024,2024-03,Resolved,17.0
788,Eatonville Care Centre - 3rd Fl,420 The East Mall,Ltch,Respiratory,Coronavirus*,Unknown,2024-03-16,2024-03-27,2024,2024-03,Resolved,11.0
789,Hellenic Home Scarborough - 1st Fl,2411 Lawrence Ave,Ltch,Respiratory,Influenza A (Not subtyped),Unknown,2024-03-16,2024-04-02,2024,2024-03,Resolved,17.0
790,Villa Colombo Homes For The Aged - Fidani Unit,40 Playfair Ave,Ltch,Respiratory,Coronavirus*,Unknown,2024-03-16,2024-03-26,2024,2024-03,Resolved,10.0
791,UHN - Toronto Western Hosptial - 8B,399 Bathurst St,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,Unknown,2024-03-15,2024-04-02,2024,2024-03,Resolved,18.0
792,Baycrest Hospital CCC - BH4E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,Metapneumovirus,Unknown,2024-03-14,2024-03-27,2024,2024-03,Resolved,13.0
793,TEHN - Michael Garron Hospital - A3,825 Coxwell Ave,Hospital-Acute Care,Enteric,Unable to identify,Unknown,2024-03-14,2024-03-22,2024,2024-03,Resolved,8.0
794,Unity Health Toronto - St. Joseph's - 7M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2024-03-14,2024-03-27,2024,2024-03,Resolved,13.0
795,"Shepherd Lodge - 2S, 3N, 3S, 6N & 6S",3760 Sheppard Ave E,Ltch,Respiratory,Metapneumovirus,Unknown,2024-03-13,2024-04-29,2024,2024-03,Resolved,47.0
796,The Salvation Army-Toronto Grace Health Ctre-Specialized Care - 5th Fl,1020 McNicoll Ave,Hospital-Chronic Care,Enteric,Norovirus,Unknown,2024-03-13,2024-03-19,2024,2024-03,Resolved,6.0
797,"Tendercare Living Centre - 2E, 2W & 3W",1020 McNicoll Ave,Ltch,Enteric,Unable to identify,Unknown,2024-03-11,2024-03-18,2024,2024-03,Resolved,7.0
798,The Wexford Residence - 6th Fl,1860 Lawrence Ave E,Ltch,Respiratory,Parainfluenza,Unknown,2024-03-11,2024-03-22,2024,2024-03,Resolved,11.0
799,Toronto Rehabilitation Institute - Bickle Centre - N5B,130 Dunn Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,Unknown,2024-03-11,2024-03-16,2024,2024-03,Resolved,5.0
800,William Osler Health System - 8W (Surgical Unit),101 Humber College Blvd,Hospital-Acute Care,Respiratory,COVID-19,Unknown,2024-03-10,2024-03-18,2024,2024-03,Resolved,8.0
801,The Village of Humber Heights - Lambton,2245 Lawrence Ave W,Ltch,Respiratory,Coronavirus*,Unknown,2024-03-09,2024-03-21,2024,2024-03,Resolved,12.0
802,True Davidson Acres - Toronto - 5th Fl,200 Dawes Rd,Ltch,Respiratory,COVID-19,Unknown,2024-03-09,2024-03-17,2024,2024-03,Resolved,8.0
803,Cummer Lodge - 3 North,205 Cummer Ave,Ltch,Respiratory,Influenza A (Not subtyped),Unknown,2024-03-07,2024-03-15,2024,2024-03,Resolved,8.0
